,pdb1,pdb2,rmsd_h12,rmsd_l12,engineered_1,engineered_2
157,4toy,6mee,16.665370392298517,6.0389048158695475,True,True
158,4qhn,5jxa,14.111210221176991,8.70865294821978,True,True
159,4zd3,5chn,1.9268544803582242,9.276849270385975,True,False
160,4yhy,5waw,7.042388746569768,17.16723333246547,True,True
161,5ik3,5mp6,3.9288579517065134,11.609156414753343,True,True
162,3qhz,6w4w,12.403362148148581,11.14951342641414,True,True
163,3f12,3hi5,5.736227476666393,3.354363270484785,True,True
164,4kmt,5jqd,3.457446179195166,3.217741863138696,True,True
165,3qhz,4hh9,14.500532856588409,7.966739890626822,True,False
166,3na9,5i1h,4.793092054750513,4.059904850697378,True,True
167,3hc3,6qcu,6.257208655323074,2.2789805371741023,True,True
168,1jv5,5od0,4.389485561668217,5.165071091232219,True,True
169,6oc7,7kba,11.039645884266397,7.27345037171848,True,True
170,1za6,3hc3,2.5771083222649955,13.112733403476415,True,True
171,3tcl,6amm,14.392195964740752,3.1416372618325075,True,True
172,1jv5,6dla,7.211651339260829,7.253498528622393,True,True
173,4f58,6n7u,20.501904065537424,5.089332939892355,False,True
174,5tpp,6mef,4.48605206010112,4.747293427709224,True,True
175,5od0,6ele,6.488795368327718,5.428979079806847,True,True
176,6e65,6eyn,3.28017422841379,6.768242676507582,True,True
177,5awn,7lsi,10.64560006675293,7.321094867001926,True,True
178,3u46,4fq2,4.802718448148663,14.39249565722982,True,True
179,3na9,5wca,4.403665409970284,5.265333098787556,True,True
180,4r4b,6phh,7.11971020741013,15.588084039083633,True,True
181,4od3,6peh,10.608411591014699,5.134345325357575,True,True
182,6dwc,6nis,6.253739350130847,10.487610090316803,True,True
183,1fgv,6dlb,6.097640564922171,7.175336830605723,True,True
184,5u15,6vpy,6.779118976796505,7.080261152477933,True,True
185,3n9g,4llv,4.540156225801872,4.1471507091798685,True,True
186,2fjf,4nuj,7.465333488971708,11.328895265308784,True,True
187,5mp6,6avn,6.253339498445011,16.27972397611051,True,True
188,3u6r,6e65,8.697341491710986,8.49164905107721,True,True
189,3f12,4nwt,12.309031157929327,13.237634171358339,True,True
190,4x0k,5w1g,6.281541038033581,7.7353464523243405,True,True
191,5dr5,6avn,6.317590884969029,9.614398361455294,True,True
192,3u46,6dzr,11.44494707181132,9.969654243099896,True,True
193,4nwu,6o3d,5.336418398900615,11.507574051187532,True,True
194,1igm,6hkg,2.459242943365333,5.271750603152799,True,True
195,4r26,6gfe,12.105749053910294,12.824030118384181,True,True
196,4lri,5v7u,6.9521208193413,1.3427594194665051,True,True
197,1rz7,6q19,9.813158417400588,6.8923855076427625,True,True
198,6n7u,6tkd,20.19913615881877,4.102363281896975,True,False
199,2agj,3hi5,3.9463995099073377,3.8020705490422886,False,True
200,3hc4,6amm,3.206170313032649,1.1125155916939393,True,True
201,3dgg,3qot,4.368407309520828,6.174310289764376,True,True
202,4jy6,4qhn,12.091542353412777,10.43121323863621,True,True
203,4nuj,7mfa,5.950681503118991,15.157620504172709,True,True
204,5ud9,6w5d,7.9967761448559695,17.230659529275837,True,True
205,2agj,7kba,8.362060608318233,4.270603884772613,False,True
206,3qot,6wj0,11.725377875707247,10.968288800422831,True,True
207,3l7f,6pzh,5.471006409502048,6.305575784618672,True,True
208,3nab,6tkf,2.969805260641312,2.9302477836422165,True,False
209,2agj,5ibu,6.923878378255571,1.332422358795018,False,True
210,4gxv,6gfe,8.49882942307351,6.056321112996637,True,True
211,6u85,6u8c,5.107443346632687,20.0129356836249,True,True
212,5ihz,5uby,8.75717688371408,9.646656377235628,True,True
213,4nuj,5i15,9.490187880944456,11.471245413297435,True,True
214,4ptt,4py7,6.448808635127887,3.0824995138128704,True,True
215,5vz1,7lsb,5.34280099394854,17.470962426413085,True,True
216,5bq7,5wca,7.052503711005759,17.721357010853996,True,True
217,1ad0,5fhb,6.948945162194583,4.856424565158093,True,True
218,3l7f,7bm5,18.72084024222738,19.927992683976125,True,True
219,4hh9,4llv,3.8600325540543534,5.482601607953596,False,True
220,4fze,5u4r,5.297983751951066,7.333047627123063,True,True
221,4hie,5xrq,6.958837961991212,5.714887488500847,True,True
222,3tnm,5ibt,13.12438510464395,5.9246297495142635,True,True
223,4gw4,4p9m,8.80484657686819,17.635823267276713,True,True
224,2fb4,5cgy,3.733412827144974,4.827978173248083,True,False
225,4hk0,4nwt,8.473201666688631,13.682247124932069,True,True
226,3aaz,6amj,9.833079112069564,11.567034780542262,True,True
227,5awn,6u9u,6.417452476572188,6.322249737808471,True,True
228,5w1g,6mtr,4.880227065510118,14.705894483536559,True,True
229,3tnm,5esa,10.680217365238875,6.750071647919927,True,True
230,7jxc,8fab,8.968367805445425,10.51258835650181,True,False
231,2fgw,5i8k,6.40696268901556,5.379380476684127,True,True
232,5bk5,5y2k,11.824928811889313,14.871820303133966,True,True
233,5f6i,5uel,11.666182095591514,5.006506097528314,True,True
234,1hkl,5i8k,6.413812457062882,5.762386824777212,True,True
235,5uy3,5w6c,14.373876450656935,5.6395058700406535,True,True
236,4d9l,4fze,4.513276124607614,11.310968845001417,True,True
237,1rz8,7lud,7.1875582198729004,10.524504386498938,True,True
238,4zd3,5u15,5.860401743374767,4.907821599588071,True,True
239,1ad0,4jy5,11.324560214970822,14.02689687366369,True,True
240,6q1g,6q1k,2.1164591113276616,1.1976269920149687,True,True
241,1rzi,4kq3,4.021133411864822,6.346584920186027,True,True
242,4ut7,6amj,12.292706548085485,12.018116653821414,True,True
243,6q1e,7ke1,7.6882850526486886,9.598690146187167,True,True
244,3oaz,5jqd,6.194437556439245,3.4556204404241617,True,True
245,4fnl,6q1k,11.05434356797137,8.04783656012372,True,True
246,5waw,6eyn,5.4229165065949525,3.3058747197534943,True,True
247,6apc,7m1c,9.573300375425656,8.028580319799374,True,True
248,4hk0,6lun,7.236373778955175,10.351194778806057,True,True
